access:private,oneway:no,3
access:private,oneway:yes,65
access:private,operator:,5
access:private,operator:type:,5
access:private,parking:rooftop,3
access:private,parking:street_side,1
access:private,parking:surface,6
access:private,private:,11
access:private,protection_title:,1
access:private,service:alley,3
access:private,service:driveway,28
access:private,service:parking_aisle,63
access:private,start_date:,1
access:private,surface:asphalt,17
access:private,surface:concrete,4
access:private,surface:ground,8
access:private,surface:paved,10
access:private,surface:unpaved,4
access:private,swimming_pool:,2
access:yes,amenity:bench,3
access:yes,amenity:bicycle_parking,6
access:yes,amenity:parking,10
access:yes,backrest:,3
access:yes,barrier:bollard,1
access:yes,barrier:gate,4
access:yes,bicycle:designated,4
access:yes,bicycle:no,1
access:yes,bicycle:yes,2
access:yes,bicycle_parking:,1
access:yes,bicycle_parking:stands,3
access:yes,bicycle_parking:wall_loops,1
access:yes,capacity:,4
access:yes,colour:,4
access:yes,covered:no,11
access:yes,direction:,3
access:yes,dog:yes,1
access:yes,ele:,2
access:yes,fee:no,13
access:yes,fee:yes,4
access:yes,foot:designated,4
access:yes,foot:yes,6
access:yes,gnis:feature_id:,2
access:yes,handrail:,1
access:yes,highway:cycleway,4
access:yes,highway:residential,7
access:yes,highway:steps,1
access:yes,hoops:,1
access:yes,incline:up,1
access:yes,indoor:,7
access:yes,lanes:,2
access:yes,lanes:backward:,2
access:yes,lanes:forward:,2
access:yes,leisure:dog_park,1
access:yes,leisure:park,5
access:yes,leisure:pitch,1
access:yes,leisure:playground,3
access:yes,lit:no,3
access:yes,lit:yes,2
access:yes,material:,2
access:yes,motor_vehicle:no,9
access:yes,name:,21
access:yes,name:etymology:wikidata:,4
access:yes,oneway:yes,3
access:yes,opening_hours:,2
access:yes,operator:,5
access:yes,operator:short:,3
access:yes,operator:type:government,2
access:yes,operator:website:,3
access:yes,operator:wikidata:,3
access:yes,park_ride:,4
access:yes,parking:surface,10
access:yes,ramp:no,1
access:yes,segregated:no,2
access:yes,sport:basketball,1
access:yes,step_count:,1
access:yes,surface:asphalt,10
access:yes,surface:paved,2
access:yes,surface:paving_stones,3
access:yes,surface:wood,1
access:yes,surface:woodchips,1
access:yes,tactile_paving:no,1
access:yes,tracktype:grade1,4
access:yes,website:,3
access:yes,wheelchair:no,1
access:yes,wheelchair:yes,6
access:yes,wikidata:,3
acres:,addr:county:,5
acres:,attribution:,5
acres:,description:,5
acres:,landuse:industrial,1
acres:,natural:scrub,4
addr:city:,addr:country:,82
addr:city:,addr:floor:,1
addr:city:,addr:full:,3
addr:city:,addr:housenumber:,5661
addr:city:,addr:postcode:,5590
addr:city:,addr:state:CA,931
addr:city:,addr:state:NC,452
addr:city:,addr:street:,5675
addr:city:,addr:unit:,421
addr:city:,aerodrome:,5
addr:city:,aerodrome:type:,5
addr:city:,aeroway:aerodrome,11
addr:city:,aeroway:hangar,1
addr:city:,after_school:,1
addr:city:,air_conditioning:,1
addr:city:,alt_name:,10
addr:city:,amenity:,1
addr:city:,amenity:arts_centre,1
addr:city:,amenity:atm,1
addr:city:,amenity:bank,14
addr:city:,amenity:cafe,16
addr:city:,amenity:childcare,4
addr:city:,amenity:clinic,1
addr:city:,amenity:dentist,9
addr:city:,amenity:doctors,1
addr:city:,amenity:dojo,2
addr:city:,amenity:fast_food,36
addr:city:,amenity:fire_station,3
addr:city:,amenity:fuel,7
addr:city:,amenity:hospital,5
addr:city:,amenity:ice_cream,1
addr:city:,amenity:library,1
addr:city:,amenity:marketplace,1
addr:city:,amenity:parking,4
addr:city:,amenity:pharmacy,5
addr:city:,amenity:place_of_worship,9
addr:city:,amenity:police,2
addr:city:,amenity:post_office,7
addr:city:,amenity:prep_school,2
addr:city:,amenity:pub,1
addr:city:,amenity:restaurant,34
addr:city:,amenity:school,20
addr:city:,amenity:social_facility,1
addr:city:,amenity:theatre,2
addr:city:,amenity:vehicle_inspection,1
addr:city:,amenity:veterinary,2
addr:city:,atm:yes,19
addr:city:,bar:,2
addr:city:,beauty:,5
addr:city:,beds:,1
addr:city:,branch:,40
addr:city:,brand:,158
addr:city:,brand:website:,4
addr:city:,brand:wikidata:,158
addr:city:,brand:wikipedia:,2
addr:city:,building:,1
addr:city:,building:apartments,64
addr:city:,building:church,2
addr:city:,building:commercial,26
addr:city:,building:fire_station,2
addr:city:,building:garage,1
addr:city:,building:hangar,1
addr:city:,building:hotel,1
addr:city:,building:house,590
addr:city:,building:industrial,25
addr:city:,building:levels:,53
addr:city:,building:part:,4
addr:city:,building:residential,23
addr:city:,building:retail,41
addr:city:,building:roof,2
addr:city:,building:school,2
addr:city:,building:units:,550
addr:city:,building:use:,2
addr:city:,building:warehouse,23
addr:city:,building:yes,4017
addr:city:,capacity:,2
addr:city:,changing_table:count:,3
addr:city:,changing_table:fee:,2
addr:city:,changing_table:location:,3
addr:city:,changing_table:yes,3
addr:city:,check_date:,12
addr:city:,check_date:opening_hours:,5
addr:city:,check_date:opening_hours::nonexistant subkey,1
addr:city:,cocktails:yes,1
addr:city:,compressed_air:,1
addr:city:,contact:email:,1
addr:city:,contact:facebook:,8
addr:city:,contact:instagram:,6
addr:city:,contact:linkedin:,5
addr:city:,contact:phone:,2
addr:city:,contact:twitter:,5
addr:city:,contact:website:,2
addr:city:,contact:youtube:,5
addr:city:,country:,1
addr:city:,craft:,1
addr:city:,craft:atelier,2
addr:city:,cuisine:,9
addr:city:,cuisine:american,1
addr:city:,cuisine:bagel,1
addr:city:,cuisine:burger,10
addr:city:,cuisine:chicken,3
addr:city:,cuisine:chinese,4
addr:city:,cuisine:coffee_shop,11
addr:city:,cuisine:french,1
addr:city:,cuisine:frozen_yogurt,1
addr:city:,cuisine:greek,1
addr:city:,cuisine:ice_cream,1
addr:city:,cuisine:indian,1
addr:city:,cuisine:italian,2
