size,dataset,model,best_mae,training_time,lr,lr_min,weight_decay,date,config
small,bridge,(M) Tagformer-SP,0.1523558646440506,36m 52s,0.0006325780656029963,3.118368931492256e-05,0.00032341744131548307,2025-01-11,remote-logs/logs/train/2025-01-11/06-24-43_tagformer_lr_opt_tagformer/6_tagformer_bridge/hydra/config.yaml
small,bridge,geojepa_t_e2-T-MLP,0.15734265744686127,2m 0s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e2/geojepa_t_e2_mlpc/hydra/config.yaml
small,bridge,(M) Tagformer,0.15755166113376617,26m 51s,0.0015662542587867056,3.3801309645904495e-05,0.00034353488344376535,2025-01-11,remote-logs/logs/train/2025-01-11/09-43-28_tagformer_lr_opt_tagformer/7_tagformer_bridge/hydra/config.yaml
small,bridge,geojepa_t_e3-T-LIN,0.17132866382598877,1m 39s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e3/geojepa_t_e3_linc/hydra/config.yaml
small,bridge,geojepa_gt_300e_small_b-GT-LIN,0.17132866382598877,1m 31s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_gt_300e_small_b/geojepa_gt_300e_small_b_linc/hydra/config.yaml
small,bridge,geojepa_t_e1-T-LIN,0.17832167446613312,1m 58s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e1/geojepa_t_e1_linc/hydra/config.yaml
small,bridge,(M) Tagformer-S,0.1806865930557251,35m 28s,0.0015730814988283884,1.6468567709790845e-06,1.6751251680982576e-06,2025-01-11,remote-logs/logs/train/2025-01-11/02-30-12_tagformer_lr_opt_tagformer/7_tagformer_bridge/hydra/config.yaml
small,bridge,(M) TagCountMLP,0.18207456171512604,8m 34s,0.0058933877762760226,5.995892559494591e-05,0.00020535571827448668,2025-01-11,remote-logs/logs/train/2025-01-11/15-05-26_lr_opt_tagcountencoder/1_tagcountencoder_bridge/hydra/config.yaml
small,bridge,geojepa_gt_300e_small_b-GT-MLP,0.18531468510627747,0m 49s,,,,2025-01-20,remote-logs/logs/pytorch/2025-01-20/bridge/geojepa_gt_300e_small_b/geojepa_gt_300e_small_b_mlpc/hydra/config.yaml
small,bridge,TagformerLMAE-LIN,0.18531468510627747,1m 52s,,,,2025-01-15,remote-logs/logs/pytorch/2025-01-15/bridge/tagformer_lmae/tagformer_lmae_linc/hydra/config.yaml
small,bridge,geojepa_t_jan12_150e-T-MLP,0.18531468510627747,1m 59s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/bridge/geojepa_t_jan12_150e/geojepa_t_jan12_150e_mlpc/hydra/config.yaml
small,bridge,geojepa_gt_300e-GT-MLP,0.18881118297576904,0m 39s,,,,2025-01-20,remote-logs/logs/pytorch/2025-01-20/bridge/geojepa_gt_300e/geojepa_gt_300e_mlpc/hydra/config.yaml
small,bridge,geojepa_t_e1-T-MLP,0.18881118297576904,0m 34s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e1/geojepa_t_e1_mlpc/hydra/config.yaml
small,bridge,geojepa_t_e2-T-LIN,0.19930069148540497,1m 57s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e2/geojepa_t_e2_linc/hydra/config.yaml
small,bridge,geojepa_gt_300e-GT-LIN,0.19930069148540497,1m 56s,,,,2025-01-20,remote-logs/logs/pytorch/2025-01-20/bridge/geojepa_gt_300e/geojepa_gt_300e_linc/hydra/config.yaml
small,bridge,geojepa_t_300e_jan13-T-MLP,0.20279720425605774,2m 6s,,,,2025-01-13,remote-logs/logs/pytorch/2025-01-13/bridge/geojepa_t_300e_jan13/geojepa_t_300e_jan13_mlpc/hydra/config.yaml
small,bridge,geojepa_t_jan12_150e-T-LIN,0.20279720425605774,1m 55s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/bridge/geojepa_t_jan12_150e/geojepa_t_jan12_150e_linc/hydra/config.yaml
small,bridge,geojepa_t_300e_jan13-T-LIN,0.21328671276569366,2m 30s,,,,2025-01-13,remote-logs/logs/pytorch/2025-01-13/bridge/geojepa_t_300e_jan13/geojepa_t_300e_jan13_linc/hydra/config.yaml
small,bridge,geojepa_ti_jan14_300e-TI-LIN,0.21678321063518524,2m 10s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/bridge/geojepa_ti_jan14_300e/geojepa_ti_jan14_300e_linc/hydra/config.yaml
small,bridge,geojepa_t_e3-T-MLP,0.220279723405838,0m 36s,,,,2025-01-21,remote-logs/logs/pytorch/2025-01-21/bridge/geojepa_t_e3/geojepa_t_e3_mlpc/hydra/config.yaml
small,bridge,TagAE-MLP,0.22727271914482117,2m 29s,,,,2025-01-09,remote-logs/logs/pytorch/2025-01-09/bridge/tag_ae_dec_28/tag_ae_dec_28_mlpc/hydra/config.yaml
small,bridge,geojepa_gti_170e-GTI-LIN,0.23076923191547394,1m 59s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/bridge/geojepa_gti_170e/geojepa_gti_170e_linc/hydra/config.yaml
small,bridge,ViT-B/16-MLP,0.23426572978496552,2m 18s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/vitb16/vitb16_mlpc/hydra/config.yaml
small,bridge,GPT-4o,0.2395989974937343,,,,,2025-01-08,remote-logs/eval_gpt/gpt_small/4o/bridge/hydra/config.yaml
small,bridge,ScaleMAE-MLP,0.24125874042510986,2m 33s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/scalemae/scalemae_mlpc/hydra/config.yaml
small,bridge,ViT-B/16-LIN,0.24125874042510986,2m 12s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/vitb16/vitb16_linc/hydra/config.yaml
small,bridge,geojepa_gti_300e-GTI-LIN,0.24125874042510986,1m 13s,,,,2025-01-16,remote-logs/logs/pytorch/2025-01-16/bridge/geojepa_gti_300e/geojepa_gti_300e_linc/hydra/config.yaml
small,bridge,geojepa_gti_300e-GTI-MLP,0.24125874042510986,0m 45s,,,,2025-01-16,remote-logs/logs/pytorch/2025-01-16/bridge/geojepa_gti_300e/geojepa_gti_300e_mlpc/hydra/config.yaml
small,bridge,geojepa_ti_jan14_300e-TI-MLP,0.24125874042510986,2m 6s,,,,2025-01-14,remote-logs/logs/pytorch/2025-01-14/bridge/geojepa_ti_jan14_300e/geojepa_ti_jan14_300e_mlpc/hydra/config.yaml
small,bridge,TagAE-LIN,0.24475523829460144,2m 11s,,,,2025-01-10,remote-logs/logs/pytorch/2025-01-10/bridge/tag_ae_dec_28/tag_ae_dec_28_linc/hydra/config.yaml
small,bridge,AG-97M-600s,0.24810287356376648,12m 18s,,,,2025-01-09,remote-logs/ag-logs/eval/2025-01-09/bridge/high-600s/hydra/config.yaml
small,bridge,geojepa_ti_jan12_100e-TI-LIN,0.2482517510652542,1m 56s,,,,2025-01-12,remote-logs/logs/pytorch/2025-01-12/bridge/geojepa_ti_jan12_100e/geojepa_ti_jan12_100e_linc/hydra/config.yaml
